channel_id,channel_title,total_videos,total_watch_time,unique_viewers,total_subscribers
05ef60ef-86f7-416b-9295-649fcc7a21b6,ChicInTheHudle Members,2,0.0,0,0
06dfa140-9c0e-4bf3-9601-952eca0d9217,All Poly,3,112.489,4,294
070f67c9-eb92-40bd-bc77-b1a4fa9bccc8,kobe_powell034,0,0.0,0,0
07383ccf-23a4-4c2c-be18-bf790536b7fe,ty_buck_21,3,0.0,0,3
0863a81a-52fb-4d60-aea0-67ea110e8521,Caleb Coe,1,0.0,0,2
0b0c6d13-fe87-4eb1-b62a-74ba4c8f75fe,Wonder Workshop Films,2,0.0,0,10
0b8f697c-4c4c-4b75-8295-cdeb7a9b314c,HUNT THE BALL,7,0.0,0,63
0d6b72e4-5bfb-4a67-8e7e-e5ada55fc258,Preston Gerritsen,1,0.0,0,12
0de3c29f-9328-4573-998d-9015a9475c79,madisonrp,1,0.0,0,8
12413ddc-cdef-4e25-b180-1a2e66f9310d,Braxton Lindsey,1,0.0,0,6
12815ead-aed5-4b14-999c-ab84f4a0ea73,Kylie Fulmer,2,0.0,0,10
145341a0-6464-4925-b1fb-d391d56c45b0,manticasuga,3,0.0,0,0
1666cff1-2e2d-4027-be0f-81616d755470,The RV Coaching Network.,1,0.0,0,1
16a08456-7ad8-442f-ae9a-b4a1db7dd60c,CougConnect Insiders,2,0.0,0,0
16ac9a27-617a-4fbc-a8cf-2085fae1a4e8,masonmarchant,5,0.0,0,15
17345965-352a-4e88-a8b8-8d40fc4e1c90,janayag33,0,0.0,0,0
1a2c089a-3807-4b71-95b2-e6014c4c2a0b,williamjg,1,0.0,0,3
1a8f9f02-39ed-4b2f-a2be-c62fa8b68fad,The Approach Shot episodes,10,91.1586,1,72
1aed6ed2-1a7b-4d03-8059-4458025d24cb,Moms Favorite Plays,40,1199.1535,24,2100
1beab4fb-2863-41d3-aefb-f027d3d975c4,Dave Champlin,1,0.0,0,2
241f0ad4-fd32-4100-9171-258168284540,Dixon TV,1,0.0,0,0
266c1166-d38c-47e6-a8ce-c7cf519c1c9d,ejrockstar,2,0.0,0,2
27258dd0-1ebc-44b5-8097-c235bf4ec57f,thomasverble,1,0.0,0,1
282171d8-919a-495e-b521-c63e22133305,Kynoa Jaeger,5,0.0,1,5
2b57523d-84fa-4b82-8829-43e391025550,The Recruit Grind,85,5008.0051,61,7632
2b82709e-4d35-482a-8865-743ba5260474,Fite Boyz,18,0.0,0,450
2decffcc-f8a4-4481-95e6-af02f026c0c8,noa.taamu28,4,0.0,0,24
2eabae99-30e8-455f-9e47-d670aa8bc128,leroi27,2,0.0,0,8
2eda9770-37be-4777-b575-aca1a20144ad,paulahavea,1,0.0,0,1
31a68fd5-1e0c-4de1-924d-ff281351a46b,ASU FOOTBALL INSIDERS,3,0.0,0,3
34a086bb-f3ce-43c3-ae1d-12075492a214,eli.doman,2,0.0,0,4
354f8bff-10e3-4acb-9170-ba2a31f59bb9,kaiwesley23,3,22.253,1,0
373d465c-81f0-4dbc-8937-478d8ad65c8f,Julian Smith,14,0.0,1,112
37d0b5b1-e50d-4f50-a076-825b16b7eee5,j.kent_20,0,0.0,0,0
3c2343ea-3efb-4606-a12e-cb130b126355,Team Pala,1,0.0,0,4
3fa7e64c-63a5-4fc0-b968-6bef8dff2f3a,Sitili Palmer,5,0.0,0,5
447b6440-225c-4dcc-a7cb-ba137bbc5ce9,blackpredatorbowhntr,1,0.0,0,1
4a7b8807-78e8-43b4-affe-e693e48b822f,CRE8TIVE VISIONS PRODUCTIONS,81,164494.3563,1,166
4f0e48b8-4412-41d5-a5fa-c0e3af6c1f25,GotSpeed Athletes,5,436605.8822,3,143
4fe66447-b5b2-412e-acb6-8d892d323926,chris676778,0,0.0,0,0
53db84d1-fabc-45ba-9ebd-93572cfeeab6,mandyknight,1,0.0,0,6
54151d3d-bf38-45cb-997b-e5a242de29c0,sportsbeef,1,737.6692,1,0
55d6f9c9-420d-4129-a48f-8e5f7330a869,liamguthrie,6,0.0,0,12
585e8bd1-e0b9-4a3d-8904-6855183392d9,Ron McBride,6,1866.7929,12,990
59c9da9c-edef-4298-847e-119816bd25fd,Rashid Shaheed,6,202.1473,11,1220
5c051317-5c71-4137-baa1-ef9e5bba52a6,raequonjr2,3,0.0,0,3
5cafdf45-6f40-492f-b71e-81b0994ba9c7,DraftVogel,19,0.0,0,114
66048b27-dc23-4d98-9b07-d42848822816,Beyond the Game Members,12,5135.0974,3,0
684444af-befc-47e3-a6a6-a40246c7b2fc,Rose Bubakar,24,21.852,1,475
69e983c8-9444-494f-a326-e5db37f6c26d,cmiller5109,1,0.0,2,9
707e4e2a-4784-4492-a8b1-0db0fb2f0298,Black Rambo,11,394.4321,11,3427
7109e7b4-5250-49f1-a905-f6e52a59f682,luckyzoeluciano,1,13.9555,1,0
748fa8d2-6e89-430a-b39e-2ce7baae37f1,NAAAA Orlando Chapter,18,8674.2375,12,0
761de4a0-4f18-401b-825f-948d4a997b07,Hot Five Podcast,2,0.0,0,6
776b9ae8-9442-4eb8-a7f9-557d229379da,Ke’Vaughn Davis,1,0.0,0,6
79333ccf-3885-423e-8b35-2181de5bcf9d,Medeuce,1,0.0,0,5
7b1f638f-36d1-4edd-8611-4a5afc4c3e50,Last Bell,8,1.1444,2,56
7b39f939-082f-4d69-b86b-ae5b2d4ffe27,Got Your Six Tactical Supply,3,0.0,0,3
7f385cce-e0f1-4347-bba9-1fd23f834191,taitanstanton,3,0.0,0,6
80e8ccb8-808e-4040-9eb3-beddebcabfd8,PROfighter,1,0.0,0,0
81bba853-6d3d-495a-9342-e3b0152fa9c6,JAMES HAGLER PROMOTIONS,161,71357.6633,58,6072
838b0510-a554-4064-a2ee-a83e9022b62a,Weber State Volleyball,7,680994.2811,7,0
84e4351a-e506-4594-8623-763c4079091b,CougConnect,13,0.0,0,104
88b759f7-097b-47bb-a18b-fe7989d63564,Living On Purpose Podcast,9,0.0,1,54
8a5f5074-d3df-4f6a-9ea3-674785bee760,AthleteCollective.org,0,0.0,0,0
8c41a27a-4160-462f-a448-e3c93028afe3,Weber State Athletics,34,200.829,11,1147
91aff17b-27c5-416d-8b57-08d1adf0509a,izavienwright11,1,0.0,0,2
93398bc8-ac8a-4917-82b7-b01c29fc451c,Air Raid Attack Podcast,4,44.4643,1,8
93434aa2-422b-487b-95a6-6ba9ef684236,CYFYTV,3,0.0,0,30
93a2c42d-1423-4708-b1c8-76480ed4f439,PAYTON ROLLINS,3,0.0,0,12
944c1826-3b6a-48a8-a8fb-ca4179ecd166,Divante Jones,4,533.881,1,63
