activity_date,unique_viewers,total_views,total_watch_time,total_engagements
2025-08-09,2,128,8538.254100000018,128
2025-08-08,8,177,159545.06439999802,176
2025-08-07,5,58,446.1982999980451,58
2025-08-06,3,157,1404317.7096000323,157
2025-08-05,4,269,0.0,269
2025-08-04,5,155,2906.250399999379,154
2025-08-03,2,12,433.92,12
2025-08-02,5,62,3693.9194000005737,61
2025-08-01,3,28,1006.4239000000202,28
2025-07-31,6,366,88340.48960001855,363
2025-07-30,2,1653,4888348.455499953,1650
2025-07-29,1,158,71517.68260000115,155
2025-07-28,5,69,1999.066399999858,69
2025-07-27,1,2,0.0,2
2025-07-26,6,100,4640.28930000031,100
2025-07-25,3,26,0.0,26
2025-07-24,5,54,809.969900000161,51
2025-07-23,2,6,170330.12929999994,5
2025-07-22,4,22,128.2891000000183,22
2025-07-21,5,719,116801582.64519905,719
2025-07-20,2,34,1029.9583999999766,33
2025-07-19,5,70,2400.424500000059,68
2025-07-18,6,7106,118307897.02430628,7106
2025-07-17,5,65,975.3211000534144,62
2025-07-16,5,893,1186698.7897,893
2025-07-15,11,1518,612571.3968000251,1504
2025-07-14,10,446,172147.11979999582,446
2025-07-13,4,199,215.6640000002384,199
2025-07-12,3,16,67.38110000026225,16
2025-07-11,3,135,16436.61689999997,135
2025-07-10,5,66,316.4455999994278,64
2025-07-09,3,29,9975849.375799991,29
2025-07-08,7,152,10968.670399997376,148
2025-07-07,3,154,441957.5090000014,152
2025-07-06,6,97,291.8680000000298,97
2025-07-05,4,237,160.91280000019074,237
2025-07-04,8,5163,22247293.56340092,5158
2025-07-03,8,983,3158645.0397000653,983
2025-07-02,11,747,96703.36569999772,744
2025-07-01,11,237,121.2960000001192,237
2025-06-30,1,3,85.70280000114441,3
2025-06-29,5,22,590.3389999999999,21
2025-06-28,2,72,18533.420399999934,72
2025-06-27,10,162,332115.16839999927,162
2025-06-26,4,50,940.6900000000076,50
2025-06-25,11,152,16421.044299995978,150
2025-06-24,7,105,11.299400000095368,105
2025-06-23,5,191,1722.4151000001025,190
2025-06-22,2,11,52.37919999986888,11
2025-06-21,5,136,51538.1469000002,134
2025-06-20,5,18,90.87439999997616,18
2025-06-19,5,1036,17627360.50529979,1034
2025-06-18,5,1431,4053446.559000136,1430
2025-06-17,3,1266,2538766.5591000183,1262
2025-06-16,4,59,59.0052000002861,59
2025-06-15,6,36,903.6510000001196,36
2025-06-14,13,485,6595.371800001449,484
2025-06-13,6,507,151822.7007000025,501
2025-06-12,5,157,2197.2852999985216,154
2025-06-11,1,1,0.0,1
2025-06-10,7,114,37976.44880000043,112
2025-06-09,5,62,4033.691699998499,61
2025-06-08,3,12,68.42889999999106,12
2025-06-07,3,27,30667.318499999998,27
2025-06-06,2,97,28663.694100004974,96
2025-06-05,4,100,8382.65,99
2025-06-04,1,8,269.8616000000015,8
2025-06-03,5,1668,6159691.090299898,1667
2025-06-02,4,220,18012.60680000053,219
2025-06-01,5,34,335.41389999977497,32
2025-05-31,10,895,493560.44090000907,894
2025-05-30,3,20,170101.64429999972,19
2025-05-29,5,51,10455.226000003178,50
2025-05-28,5,80,1167.8225999998444,78
2025-05-27,8,100,2331.412100000094,98
2025-05-25,5,23,112.66469999998807,23
2025-05-24,3,18,242.88,18
2025-05-23,4,27,745.5614999999872,26
2025-05-22,5,85,2196.0284999999385,82
2025-05-21,8,55,1035.3939999997615,54
2025-05-20,3,118,417154.8541000004,118
2025-05-19,4,268,637.6327000002565,266
2025-05-18,1,4,0.0,4
2025-05-17,7,60,1095.8855000000144,60
2025-05-16,10,586,1291366.3433999985,586
2025-05-15,3,20,834.8306000000388,17
2025-05-14,4,25,211.66220000004768,25
2025-05-13,1,9,68.6850000000596,9
2025-05-12,3,20,228.39059999996425,20
2025-05-11,7,141,829.4511000014691,140
2025-05-10,9,229,141.93310000000892,229
2025-05-09,6,60,6245.769200000526,59
2025-05-08,12,177,3266.4472999989675,176
2025-05-07,14,139,16966.177799999045,135
2025-05-06,7,145,28314.27670000297,144
2025-05-05,15,170,12348.492500000284,168
2025-05-04,3,14,234.82730000019063,12
2025-05-03,5,55,162.06959999970715,55
2025-05-02,7,45,584.677699999273,43
2025-05-01,33,726,164694.2127999647,722
2025-04-30,17,226,12754.892299997751,222
2025-04-29,14,207,110511.69160000388,203
2025-04-28,5,243,96.91,242
2025-04-27,3,57,1901.9345999999643,57
2025-04-26,5,47,988.5046000001804,47
2025-04-25,3,1840,4196629.999400064,1840
2025-04-24,12,128,4448.765399998555,128
2025-04-23,6,365,25060.11660000155,364
2025-04-22,6,75,1300.239599999129,74
2025-04-21,3,18,119.84070000004768,18
2025-04-20,2,6,149.65019999998808,6
2025-04-19,3,378,385828.2962999971,378
2025-04-18,7,926,3579643.432299986,925
2025-04-17,2,355,394663.50960000703,355
